"month","gross_mrr","refunds","net_mrr","mom_change_pct"
2025-01-01,2117.88,59.36,2058.52,
2025-02-01,3422.67,122.49,3300.18,60.32
2025-03-01,5431.95,217.00,5214.95,58.02
2025-04-01,5656.15,57.94,5598.21,7.35
2025-05-01,9211.15,446.17,8764.98,56.57
2025-06-01,9464.23,342.88,9121.35,4.07
2025-07-01,11279.64,421.31,10858.33,19.04
2025-08-01,10081.37,408.51,9672.86,-10.92
2025-09-01,11301.86,356.16,10945.70,13.16
2025-10-01,13493.53,897.35,12596.18,15.08
2025-11-01,13572.00,283.60,13288.40,5.50
2025-12-01,14999.32,500.39,14498.93,9.11
2026-01-01,0,51.46,-51.46,-100.35
