"cohort_month","month_number","retained_accounts","cohort_size","retention_rate"
2025-01-01,0,5,5,1.000
2025-01-01,1,7,5,1.400
2025-01-01,2,8,5,1.600
2025-01-01,3,8,5,1.600
2025-01-01,4,9,5,1.800
2025-01-01,5,8,5,1.600
2025-01-01,6,7,5,1.400
2025-01-01,7,7,5,1.400
2025-01-01,8,7,5,1.400
2025-01-01,9,8,5,1.600
2025-01-01,10,8,5,1.600
2025-01-01,11,8,5,1.600
2025-02-01,0,2,2,1.000
2025-02-01,1,5,2,2.500
2025-02-01,2,5,2,2.500
2025-02-01,3,5,2,2.500
2025-02-01,4,5,2,2.500
2025-02-01,5,5,2,2.500
2025-02-01,6,5,2,2.500
2025-02-01,7,5,2,2.500
2025-02-01,8,5,2,2.500
2025-02-01,9,5,2,2.500
2025-02-01,10,5,2,2.500
2025-03-01,0,10,10,1.000
2025-03-01,1,8,10,0.800
2025-03-01,2,9,10,0.900
2025-03-01,3,9,10,0.900
2025-03-01,4,10,10,1.000
2025-03-01,5,10,10,1.000
2025-03-01,6,9,10,0.900
2025-03-01,7,10,10,1.000
2025-03-01,8,7,10,0.700
2025-03-01,9,8,10,0.800
2025-04-01,0,5,5,1.000
2025-04-01,1,6,5,1.200
2025-04-01,2,6,5,1.200
2025-04-01,3,4,5,0.800
2025-04-01,4,6,5,1.200
2025-04-01,5,3,5,0.600
2025-04-01,6,3,5,0.600
2025-04-01,7,4,5,0.800
2025-04-01,8,3,5,0.600
2025-05-01,0,5,5,1.000
2025-05-01,1,8,5,1.600
2025-05-01,2,11,5,2.200
2025-05-01,3,10,5,2.000
2025-05-01,4,9,5,1.800
2025-05-01,5,9,5,1.800
2025-05-01,6,8,5,1.600
2025-05-01,7,6,5,1.200
2025-06-01,0,2,2,1.000
2025-06-01,1,2,2,1.000
2025-06-01,2,4,2,2.000
2025-06-01,3,2,2,1.000
2025-06-01,4,4,2,2.000
2025-06-01,5,4,2,2.000
2025-06-01,6,2,2,1.000
2025-07-01,0,5,5,1.000
2025-07-01,1,6,5,1.200
2025-07-01,2,5,5,1.000
2025-07-01,3,5,5,1.000
2025-07-01,4,5,5,1.000
2025-07-01,5,5,5,1.000
2025-08-01,0,10,10,1.000
2025-08-01,1,12,10,1.200
2025-08-01,2,10,10,1.000
2025-08-01,3,9,10,0.900
2025-08-01,4,12,10,1.200
2025-09-01,0,4,4,1.000
2025-09-01,1,7,4,1.750
2025-09-01,2,10,4,2.500
2025-09-01,3,10,4,2.500
